,Pha,Muestras,Phmax,Phme,Phdif,TDSa,Phf,Alcohola,Phd,Phv,Co2max,TDSmind,Temp1dif,Alcoholmax,Alcoholdif,Co2dif,Alcoholdifd,Co2d,Temp2dif,Phmo,Alcoholme,Alcoholmaxd,Co2v,Co2fd,Temp1maxd,Temp1max,Alcoholf,Temp2f,Temp2a,Phmod,Temp2ad,Phdd,Alcoholv,Phvd,Alcohold,Alcoholi,Alcoholmin,Temp2min,Co2f,TDSmaxd,TDSv,TDSdifd,TDSd,TDSvd,TDSdd,Temp1ad,Alcoholad,Phad,Co2ad,TDSad,Acidez
0,319.1646977,1438,552,339,552,367.7533009,530,565.3766505,159.6434918,25486.04448,135,-95,2.39,664,510,121,26,26.96144019,3.31,452,628,23,726.919257,-2,0.05,23.24,664,24.2,24.46903405,0,0.000701876,5.376781683,15672.98321,28.90978127,125.1917857,154,154,22.94,120,31,38486.36538,126,196.1794214,17.30217341,4.15958813,0.001660876,0.354412787,0.366921473,0.072272411,0.311327311,7.2
1,300.4624034,1422,518,309,518,386.2326072,517,554.661279,145.717184,21233.49771,126,-63,2.1,650,431,106,37,24.36667725,3.1,245,614,34,593.73496,-1,0.05,22.62,648,22.96,23.84854533,1,0.000309206,4.621782733,12604.39433,21.36087563,112.2692938,219,219,22.48,124,27,27012.35584,90,164.3543606,15.83091723,3.978808519,0.001475755,0.301475755,0.363316936,0.073085032,0.274771609,7.2
2,301.4671735,1447,531,327,529,381.5245335,521,556.5231513,139.0345047,19330.59349,112,-21,2.12,650,430,92,37,23.08187164,2.48,396,615,34,532.7727984,0,0.07,22.78,650,24.59,23.64949551,0,0.000663442,5.50764153,12467.67979,30.33411522,111.6587649,220,220,22.5,112,20,29905.89272,41,172.9332031,7.828853707,2.798008883,0.0014651,0.297857636,0.359364202,0.06357982,0.281271596,7.2
3,307.6916329,1481,549,335,512,413.0526316,548,544.8569501,119.5155427,14283.96494,105,-76,1.54,613,299,87,5,21.46601774,2.62,380,607,3,460.7899175,0,0.05,22.98,611,25.14,23.96330634,1,0.000951417,6.404151987,9533.235431,41.01316268,97.63828876,314,314,22.8,103,21,22088.13362,97,148.6207712,13.69682784,3.700922565,0.001018893,0.200404858,0.344129555,0.056680162,0.240890688,7.25
4,413.6348415,2806,839,365,826,417.3031706,802,618.6726042,211.9922996,44940.73511,151,-14,4.03,695,618,137,83,30.10291257,4.96,361,677,80,906.1853454,0,0.07,23.08,668,24.55,23.34781617,0,0.001132882,4.154243917,14474.88101,17.25774252,120.3115997,77,77,21.18,127,15,33777.38453,29,183.7862469,2.509843404,1.58424853,0.001147132,0.210545066,0.281083007,0.040256502,0.169219808,7.5
5,431.8766505,2877,929,458,929,426.6820709,926,619.0319666,229.9849077,52893.05777,145,-14,3.73,692,606,129,74,30.31341124,4.52,0,676,70,918.9029009,0,0.06,22.99,667,26.99,24.05314802,0,0.000656706,4.247064797,14009.86759,18.03755939,118.3632865,86,86,22.6,137,17,26093.3146,31,161.5342521,2.890027857,1.700008193,0.001250869,0.201876303,0.321751216,0.042043085,0.166087561,7.5
6,483.5097038,2936,727,543,724,431.4344569,695,568.773919,192.6328958,37107.43255,154,-23,3.26,660,548,107,17,26.7798524,3.2,565,623,13,717.1604946,0,0.07,22.62,656,23.8,22.74482806,0,0.000439224,3.776493818,14636.18865,14.26190556,120.9801168,112,112,21.44,118,18,25450.50124,41,159.5321323,4.147693758,2.036588755,0.001109976,0.185223017,0.235614573,0.024174328,0.145726932,7.5
7,435.038787,2835,760,444,760,402.4425247,758,599.157969,208.8175492,43604.76887,150,-24,3.15,674,581,107,61,27.58870661,4.89,349,661,58,761.1367322,0,0.05,21.38,657,26.01,22.89331453,0,0.00104725,3.923743711,14218.33976,15.39576471,119.24068,93,93,21.15,122,16,26816.97483,40,163.7588924,2.272570603,1.50750476,0.00096615,0.19887165,0.259520451,0.027856135,0.162905501,7.5
8,562.5773436,4299,924,577,924,430.4438241,772,638.6645732,263.4618287,69412.13519,148,-6,4.37,705,636,134,98,28.1269325,4.7,790,666,92,791.1243319,0,0.05,23.77,646,24.44,23.79475692,0,0.000314027,4.152467335,9661.948421,17.24298497,98.29521057,69,69,21.82,52,25,19651.0389,31,140.1821633,2.876262847,1.695954848,0.000804838,0.134915097,0.176320074,0.008839265,0.109792975,7.55
9,557.7588439,4325,914,598,914,445.7387283,838,622.9715607,255.0646893,65057.99572,145,-5,4.3,684,597,124,73,29.22095327,4.63,802,659,69,853.8641102,0,0.09,23.56,634,23.31,22.17319769,0,0.000106358,2.056015156,9686.293132,4.227198323,98.41896734,87,87,19.81,64,11,15537.72867,16,124.6504259,1.783914273,1.335632537,0.000679769,0.126936416,0.193294798,0.009942197,0.098959538,7.6
10,570.8752819,4434,943,637.5,943,439.2119982,842,622.4555706,274.9449917,75594.74848,145,-5,3.86,681,592,120,64,25.15490719,4.61,888,663,62,632.7693559,0,0.06,23.56,640,22.21,23.40050068,0,0.000324763,4.144104135,9702.337863,17.17359908,98.500446,89,89,20.77,86,12,15422.15987,17,124.185989,1.729940117,1.315271879,0.000541272,0.125394677,0.183581416,0.01375733,0.091565178,7.65
11,590.395502,4402,925,643,924,446.4388914,887,629.5440709,236.1461592,55765.00851,145,-17,4.08,688,580,111,73,25.73852883,4.12,654,661,69,662.4718665,0,0.06,23.45,638,21.95,23.56490459,0,7.27E-05,3.953538186,8404.040434,15.63046418,91.67355362,108,108,21.57,76,15,15791.0934,32,125.6626174,2.2319216,1.493961713,0.000604271,0.120854157,0.201272149,0.009086779,0.094502499,7.7
12,601.7882456,5699,1030,640,1029,453.7229825,933,640.4903509,269.5972415,72682.67265,176,-5,4.06,726,669,166,114,34.15062688,4.16,585,652,111,1166.265317,0,0.11,24.11,589,21.24,23.28349298,0,-2.98E-05,3.83438534,7571.721086,14.70251094,87.01563702,57,57,21.2,46,13,13150.17399,18,114.6742081,1.856835795,1.362657622,0.000514035,0.093333333,0.163508772,0.005964912,0.075964912,7.75
13,634.2835975,5803,976,727,976,465.1104411,904,633.9870779,241.1846028,58170.01261,167,-5,3.86,686,587,166,84,50.27423572,4.65,852,655,52,2527.498778,0,0.09,23.95,618,20.18,23.35259993,0,-0.000323915,4.461892007,6863.612964,19.90848029,82.84692489,99,99,20.18,4,13,11844.47462,18,108.8323234,1.924258027,1.387176278,0.000652998,0.089421089,0.153687112,-0.00172295,0.071330117,7.75
14,614.7180243,5769,911,737,909,457.7126516,889,627.7844021,251.4539569,63229.09243,149,-12,3.14,682,549,131,50,34.91814419,3.45,824,650,46,1219.276794,0,0.05,23.86,618,24.67,23.45586308,0,0.000188908,3.579148529,6410.625376,12.81030419,80.06638106,133,133,21.77,21,9,11456.84999,21,107.0366759,1.64949892,1.284328198,0.0005026,0.084055459,0.15372617,0.000519931,0.068457539,7.75
15,597.940499,5730,935,675,935,456.1973478,867,630.2896528,240.9001592,58032.88669,170,-5,3.56,697,581,151,81,38.59927338,4.77,797,644,78,1489.903905,0,0.11,23.09,605,20.77,22.76212005,0,-9.95E-05,3.908632479,6168.635109,15.27740786,78.54065896,117,116,20.77,27,11,10375.43627,16,101.8598855,1.8237435,1.350460477,0.000403071,0.085150934,0.149712092,0.000872448,0.06857442,7.75
