,Muestras,Phme,Pha,TDSa,Phv,Phdif,Phd,Phmax,Alcohola,Phmo,Phf,Co2max,Co2dif,Co2d,TDSmind,Alcoholmax,Alcoholdifd,Co2v,Temp1dif,Temp1max,Alcoholdif,Alcoholmaxd,Temp1maxd,Temp1a,Co2maxd,Temp1me,Co2difd,Temp2dif,Alcoholi,Alcoholmin,Phdd,Phvd,TDSf,Temp2f,TDSmaxd,Temp2min,Alcoholf,TDSvd,TDSdifd,TDSdd,Temp2ad,Alcoholv,Alcohold,Alcoholad,TDSv,TDSad,Co2f,Temp1ad,TDSd,Co2ad,Phad,aroma
0,1438,339,319.1646977,367.7533009,25486.04448,552,159.6434918,552,565.3766505,452,530,135,121,26.96144019,-95,664,26,726.919257,2.39,23.24,510,23,0.05,22.00696317,8,22.07,14,3.31,154,154,5.376781683,28.90978127,510,24.2,31,22.94,664,17.30217341,126,4.15958813,0.000701876,15672.98321,125.1917857,0.354412787,38486.36538,0.311327311,120,0.001660876,196.1794214,0.072272411,0.366921473,7.2
1,1422,309,300.4624034,386.2326072,21233.49771,518,145.717184,518,554.661279,245,517,126,106,24.36667725,-63,650,37,593.73496,2.1,22.62,431,34,0.05,21.98282502,3,22.14,6,3.1,219,219,4.621782733,21.36087563,501,22.96,27,22.48,648,15.83091723,90,3.978808519,0.000309206,12604.39433,112.2692938,0.301475755,27012.35584,0.274771609,124,0.001475755,164.3543606,0.073085032,0.363316936,7.2
2,1447,327,301.4671735,381.5245335,19330.59349,529,139.0345047,531,556.5231513,396,521,112,92,23.08187164,-21,650,37,532.7727984,2.12,22.78,430,34,0.07,21.9049067,2,22.01,4,2.48,220,220,5.50764153,30.33411522,507,24.59,20,22.5,650,7.828853707,41,2.798008883,0.000663442,12467.67979,111.6587649,0.297857636,29905.89272,0.281271596,112,0.0014651,172.9332031,0.06357982,0.359364202,7.2
3,1481,335,307.6916329,413.0526316,14283.96494,512,119.5155427,549,544.8569501,380,548,105,87,21.46601774,-76,613,5,460.7899175,1.54,22.98,299,3,0.05,22.31686235,2,22.4,5,2.62,314,314,6.404151987,41.01316268,478,25.14,21,22.8,611,13.69682784,97,3.700922565,0.000951417,9533.235431,97.63828876,0.200404858,22088.13362,0.240890688,103,0.001018893,148.6207712,0.056680162,0.344129555,7.2
4,2806,365,413.6348415,417.3031706,44940.73511,826,211.9922996,839,618.6726042,361,802,151,137,30.10291257,-14,695,83,906.1853454,4.03,23.08,618,80,0.07,21.89051657,5,21.86,9,4.96,77,77,4.154243917,17.25774252,508,24.55,15,21.18,668,2.509843404,29,1.58424853,0.001132882,14474.88101,120.3115997,0.210545066,33777.38453,0.169219808,127,0.001147132,183.7862469,0.040256502,0.281083007,7.25
5,2877,458,431.8766505,426.6820709,52893.05777,929,229.9849077,929,619.0319666,0,926,145,129,30.31341124,-14,692,74,918.9029009,3.73,22.99,606,70,0.06,21.31115358,6,21.29,12,4.52,86,86,4.247064797,18.03755939,524,26.99,17,22.6,667,2.890027857,31,1.700008193,0.000656706,14009.86759,118.3632865,0.201876303,26093.3146,0.166087561,137,0.001250869,161.5342521,0.042043085,0.321751216,7.3
6,2936,543,483.5097038,431.4344569,37107.43255,724,192.6328958,727,568.773919,565,695,154,107,26.7798524,-23,660,17,717.1604946,3.26,22.62,548,13,0.07,21.56099762,5,21.61,10,3.2,112,112,3.776493818,14.26190556,524,23.8,18,21.44,656,4.147693758,41,2.036588755,0.000439224,14636.18865,120.9801168,0.185223017,25450.50124,0.145726932,118,0.001109976,159.5321323,0.024174328,0.235614573,7.4
7,2835,444,435.038787,402.4425247,43604.76887,760,208.8175492,760,599.157969,349,758,150,107,27.58870661,-24,674,61,761.1367322,3.15,21.38,581,58,0.05,20.48489774,5,20.49,10,4.89,93,93,3.923743711,15.39576471,513,26.01,16,21.15,657,2.272570603,40,1.50750476,0.00104725,14218.33976,119.24068,0.19887165,26816.97483,0.162905501,122,0.00096615,163.7588924,0.027856135,0.259520451,7.5
8,4299,577,562.5773436,430.4438241,69412.13519,924,263.4618287,924,638.6645732,790,772,148,134,28.1269325,-6,705,98,791.1243319,4.37,23.77,636,92,0.05,22.18019772,8,22.19,13,4.7,69,69,4.152467335,17.24298497,499,24.44,25,21.82,646,2.876262847,31,1.695954848,0.000314027,9661.948421,98.29521057,0.134915097,19651.0389,0.109792975,52,0.000804838,140.1821633,0.008839265,0.176320074,7.75
9,4325,598,557.7588439,445.7387283,65057.99572,914,255.0646893,914,622.9715607,802,838,145,124,29.22095327,-5,684,73,853.8641102,4.3,23.56,597,69,0.09,22.18070289,3,22.21,6,4.63,87,87,2.056015156,4.227198323,484,23.31,11,19.81,634,1.783914273,16,1.335632537,0.000106358,9686.293132,98.41896734,0.126936416,15537.72867,0.098959538,64,0.000679769,124.6504259,0.009942197,0.193294798,7.75
10,4434,637.5,570.8752819,439.2119982,75594.74848,943,274.9449917,943,622.4555706,888,842,145,120,25.15490719,-5,681,64,632.7693559,3.86,23.56,592,62,0.06,22.1354894,5,22.12,9,4.61,89,89,4.144104135,17.17359908,477,22.21,12,20.77,640,1.729940117,17,1.315271879,0.000324763,9702.337863,98.500446,0.125394677,15422.15987,0.091565178,86,0.000541272,124.185989,0.01375733,0.183581416,7.75
11,4402,643,590.395502,446.4388914,55765.00851,924,236.1461592,925,629.5440709,654,887,145,111,25.73852883,-17,688,73,662.4718665,4.08,23.45,580,69,0.06,21.9265493,5,21.97,10,4.12,108,108,3.953538186,15.63046418,499,21.95,15,21.57,638,2.2319216,32,1.493961713,7.27E-05,8404.040434,91.67355362,0.120854157,15791.0934,0.094502499,76,0.000604271,125.6626174,0.009086779,0.201272149,7.75
12,5699,640,601.7882456,453.7229825,72682.67265,1029,269.5972415,1030,640.4903509,585,933,176,166,34.15062688,-5,726,114,1166.265317,4.06,24.11,669,111,0.11,23.06435263,18,23.14,24,4.16,57,57,3.83438534,14.70251094,476,21.24,13,21.2,589,1.856835795,18,1.362657622,-2.98E-05,7571.721086,87.01563702,0.093333333,13150.17399,0.075964912,46,0.000514035,114.6742081,0.005964912,0.163508772,8
13,5803,727,634.2835975,465.1104411,58170.01261,976,241.1846028,976,633.9870779,852,904,167,166,50.27423572,-5,686,84,2527.498778,3.86,23.95,587,52,0.09,23.14669194,6,23.27,10,4.65,99,99,4.461892007,19.90848029,493,20.18,13,20.18,618,1.924258027,18,1.387176278,-0.000323915,6863.612964,82.84692489,0.089421089,11844.47462,0.071330117,4,0.000652998,108.8323234,-0.00172295,0.153687112,8
14,5769,737,614.7180243,457.7126516,63229.09243,909,251.4539569,911,627.7844021,824,889,149,131,34.91814419,-12,682,50,1219.276794,3.14,23.86,549,46,0.05,23.1682461,5,23.25,10,3.45,133,133,3.579148529,12.81030419,485,24.67,9,21.77,618,1.64949892,21,1.284328198,0.000188908,6410.625376,80.06638106,0.084055459,11456.84999,0.068457539,21,0.0005026,107.0366759,0.000519931,0.15372617,8
15,5730,675,597.940499,456.1973478,58032.88669,935,240.9001592,935,630.2896528,797,867,170,151,38.59927338,-5,697,81,1489.903905,3.56,23.09,581,78,0.11,22.00332054,12,22,16,4.77,117,116,3.908632479,15.27740786,470,20.77,11,20.77,605,1.8237435,16,1.350460477,-9.95E-05,6168.635109,78.54065896,0.085150934,10375.43627,0.06857442,27,0.000403071,101.8598855,0.000872448,0.149712092,8
