,Muestras,Pha,TDSa,Phme,Phmax,Phdif,Phf,Phd,Alcohola,Phv,TDSmind,Co2max,Temp1dif,Phmo,Co2fd,Alcoholmax,Alcoholdifd,Co2d,Alcoholdif,Co2dif,Co2v,Temp2dif,Alcoholmaxd,Alcoholme,Temp1maxd,Temp2a,Alcoholf,Alcoholi,Alcoholmin,Phdd,Temp2ad,Phvd,Temp2min,Alcoholv,Alcohold,Co2f,TDSmaxd,TDSdifd,TDSvd,TDSv,TDSd,TDSdd,Temp1ad,Phad,Alcoholad,Co2ad,TDSad,OUTPUT
0,1438,319.1646977,367.7533009,339,552,552,530,159.6434918,565.3766505,25486.04448,-95,135,2.39,452,-2,664,26,26.96144019,510,121,726.919257,3.31,23,628,0.05,24.46903405,664,154,154,5.376781683,0.000701876,28.90978127,22.94,15672.98321,125.1917857,120,31,126,17.30217341,38486.36538,196.1794214,4.15958813,0.001660876,0.366921473,0.354412787,0.072272411,0.311327311,80.55
1,1422,300.4624034,386.2326072,309,518,518,517,145.717184,554.661279,21233.49771,-63,126,2.1,245,-1,650,37,24.36667725,431,106,593.73496,3.1,34,614,0.05,23.84854533,648,219,219,4.621782733,0.000309206,21.36087563,22.48,12604.39433,112.2692938,124,27,90,15.83091723,27012.35584,164.3543606,3.978808519,0.001475755,0.363316936,0.301475755,0.073085032,0.274771609,81.05
2,1447,301.4671735,381.5245335,327,531,529,521,139.0345047,556.5231513,19330.59349,-21,112,2.12,396,0,650,37,23.08187164,430,92,532.7727984,2.48,34,615,0.07,23.64949551,650,220,220,5.50764153,0.000663442,30.33411522,22.5,12467.67979,111.6587649,112,20,41,7.828853707,29905.89272,172.9332031,2.798008883,0.0014651,0.359364202,0.297857636,0.06357982,0.281271596,81.4
3,1481,307.6916329,413.0526316,335,549,512,548,119.5155427,544.8569501,14283.96494,-76,105,1.54,380,0,613,5,21.46601774,299,87,460.7899175,2.62,3,607,0.05,23.96330634,611,314,314,6.404151987,0.000951417,41.01316268,22.8,9533.235431,97.63828876,103,21,97,13.69682784,22088.13362,148.6207712,3.700922565,0.001018893,0.344129555,0.200404858,0.056680162,0.240890688,81.7
4,2806,413.6348415,417.3031706,365,839,826,802,211.9922996,618.6726042,44940.73511,-14,151,4.03,361,0,695,83,30.10291257,618,137,906.1853454,4.96,80,677,0.07,23.34781617,668,77,77,4.154243917,0.001132882,17.25774252,21.18,14474.88101,120.3115997,127,15,29,2.509843404,33777.38453,183.7862469,1.58424853,0.001147132,0.281083007,0.210545066,0.040256502,0.169219808,82.25
5,2877,431.8766505,426.6820709,458,929,929,926,229.9849077,619.0319666,52893.05777,-14,145,3.73,0,0,692,74,30.31341124,606,129,918.9029009,4.52,70,676,0.06,24.05314802,667,86,86,4.247064797,0.000656706,18.03755939,22.6,14009.86759,118.3632865,137,17,31,2.890027857,26093.3146,161.5342521,1.700008193,0.001250869,0.321751216,0.201876303,0.042043085,0.166087561,82.4
6,2936,483.5097038,431.4344569,543,727,724,695,192.6328958,568.773919,37107.43255,-23,154,3.26,565,0,660,17,26.7798524,548,107,717.1604946,3.2,13,623,0.07,22.74482806,656,112,112,3.776493818,0.000439224,14.26190556,21.44,14636.18865,120.9801168,118,18,41,4.147693758,25450.50124,159.5321323,2.036588755,0.001109976,0.235614573,0.185223017,0.024174328,0.145726932,82.75
7,2835,435.038787,402.4425247,444,760,760,758,208.8175492,599.157969,43604.76887,-24,150,3.15,349,0,674,61,27.58870661,581,107,761.1367322,4.89,58,661,0.05,22.89331453,657,93,93,3.923743711,0.00104725,15.39576471,21.15,14218.33976,119.24068,122,16,40,2.272570603,26816.97483,163.7588924,1.50750476,0.00096615,0.259520451,0.19887165,0.027856135,0.162905501,83
8,4299,562.5773436,430.4438241,577,924,924,772,263.4618287,638.6645732,69412.13519,-6,148,4.37,790,0,705,98,28.1269325,636,134,791.1243319,4.7,92,666,0.05,23.79475692,646,69,69,4.152467335,0.000314027,17.24298497,21.82,9661.948421,98.29521057,52,25,31,2.876262847,19651.0389,140.1821633,1.695954848,0.000804838,0.176320074,0.134915097,0.008839265,0.109792975,83.1
9,4325,557.7588439,445.7387283,598,914,914,838,255.0646893,622.9715607,65057.99572,-5,145,4.3,802,0,684,73,29.22095327,597,124,853.8641102,4.63,69,659,0.09,22.17319769,634,87,87,2.056015156,0.000106358,4.227198323,19.81,9686.293132,98.41896734,64,11,16,1.783914273,15537.72867,124.6504259,1.335632537,0.000679769,0.193294798,0.126936416,0.009942197,0.098959538,83.2
10,4434,570.8752819,439.2119982,637.5,943,943,842,274.9449917,622.4555706,75594.74848,-5,145,3.86,888,0,681,64,25.15490719,592,120,632.7693559,4.61,62,663,0.06,23.40050068,640,89,89,4.144104135,0.000324763,17.17359908,20.77,9702.337863,98.500446,86,12,17,1.729940117,15422.15987,124.185989,1.315271879,0.000541272,0.183581416,0.125394677,0.01375733,0.091565178,83.35
11,4402,590.395502,446.4388914,643,925,924,887,236.1461592,629.5440709,55765.00851,-17,145,4.08,654,0,688,73,25.73852883,580,111,662.4718665,4.12,69,661,0.06,23.56490459,638,108,108,3.953538186,7.27E-05,15.63046418,21.57,8404.040434,91.67355362,76,15,32,2.2319216,15791.0934,125.6626174,1.493961713,0.000604271,0.201272149,0.120854157,0.009086779,0.094502499,83.55
12,5699,601.7882456,453.7229825,640,1030,1029,933,269.5972415,640.4903509,72682.67265,-5,176,4.06,585,0,726,114,34.15062688,669,166,1166.265317,4.16,111,652,0.11,23.28349298,589,57,57,3.83438534,-2.98E-05,14.70251094,21.2,7571.721086,87.01563702,46,13,18,1.856835795,13150.17399,114.6742081,1.362657622,0.000514035,0.163508772,0.093333333,0.005964912,0.075964912,83.95
13,5803,634.2835975,465.1104411,727,976,976,904,241.1846028,633.9870779,58170.01261,-5,167,3.86,852,0,686,84,50.27423572,587,166,2527.498778,4.65,52,655,0.09,23.35259993,618,99,99,4.461892007,-0.000323915,19.90848029,20.18,6863.612964,82.84692489,4,13,18,1.924258027,11844.47462,108.8323234,1.387176278,0.000652998,0.153687112,0.089421089,-0.00172295,0.071330117,84
14,5769,614.7180243,457.7126516,737,911,909,889,251.4539569,627.7844021,63229.09243,-12,149,3.14,824,0,682,50,34.91814419,549,131,1219.276794,3.45,46,650,0.05,23.45586308,618,133,133,3.579148529,0.000188908,12.81030419,21.77,6410.625376,80.06638106,21,9,21,1.64949892,11456.84999,107.0366759,1.284328198,0.0005026,0.15372617,0.084055459,0.000519931,0.068457539,84.15
15,5730,597.940499,456.1973478,675,935,935,867,240.9001592,630.2896528,58032.88669,-5,170,3.56,797,0,697,81,38.59927338,581,151,1489.903905,4.77,78,644,0.11,22.76212005,605,117,116,3.908632479,-9.95E-05,15.27740786,20.77,6168.635109,78.54065896,27,11,16,1.8237435,10375.43627,101.8598855,1.350460477,0.000403071,0.149712092,0.085150934,0.000872448,0.06857442,84.2
